2: FreeListElement
3: ForwardingCorpse
5: Class
6: PatchClass
7: Function
8: TypeParameters
9: ClosureData
10: FfiTrampolineData
11: Field
12: Script
13: Library
14: Namespace
15: KernelProgramInfo
16: WeakSerializationReference
17: Code
18: Instructions
19: InstructionsSection
20: InstructionsTable
21: ObjectPool
22: PcDescriptors
23: CodeSourceMap
24: CompressedStackMaps
25: LocalVarDescriptors
26: ExceptionHandlers
27: Context
28: ContextScope
29: Sentinel
30: SingleTargetCache
31: UnlinkedCall
32: MonomorphicSmiableCall
34: ICData
35: MegamorphicCache
36: SubtypeTestCache
37: LoadingUnit
39: ApiError
40: LanguageError
41: UnhandledException
42: UnwindError
43: Object
44: _LibraryPrefix@0150898
45: TypeArguments
47: _Type@0150898
49: _FinalizerImpl@0150898
50: _NativeFinalizer@8050071
51: FinalizerEntry
52: _FunctionType@0150898
53: _TypeRef@0150898
54: _TypeParameter@0150898
55: _Closure@0150898
56: num
57: _IntegerImplementation@0150898
58: _Smi@0150898
59: _Mint@0150898
60: _Double@0150898
61: bool
62: _Float32x4@7027147
63: _Int32x4@7027147
64: _Float64x2@7027147
69: Pointer
70: DynamicLibrary
71: _CapabilityImpl@1026248
72: _RawReceivePortImpl@1026248
73: _SendPortImpl@1026248
74: _StackTrace@0150898
75: _RegExp@0150898
76: _WeakProperty@0150898
77: _WeakReferenceImpl@0150898
78: _MirrorReference@2408521
79: FutureOr
80: _UserTag@5383715
81: _TransferableTypedDataImpl@1026248
82: _InternalLinkedHashMap@3220832
83: _InternalImmutableLinkedHashMap@3220832
84: _CompactLinkedHashSet@3220832
85: _CompactImmutableLinkedHashSet@3220832
86: _List@0150898
87: _ImmutableList@0150898
88: _GrowableList@0150898
90: _OneByteString@0150898
91: _TwoByteString@0150898
92: _ExternalOneByteString@0150898
93: _ExternalTwoByteString@0150898
94: NativeFunction
95: Int8
96: Int16
97: Int32
98: Int64
99: Uint8
100: Uint16
101: Uint32
102: Uint64
103: Float
104: Double
105: Void
106: Handle
107: Bool
108: NativeType
110: _Int8List@7027147
111: _Int8ArrayView@7027147
112: _ExternalInt8Array@7027147
